Üniversite,Bölüm,İmam Hatip Sayısı,İmam Hatip Oranı,URL
"ADIYAMAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","33","% 31,4","https://yokatlas.yok.gov.tr/lisans.php?y=100290193"
"AFYON KOCATEPE ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","41","% 42,7","https://yokatlas.yok.gov.tr/lisans.php?y=100490284"
"AKDENİZ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","44","% 35,2","https://yokatlas.yok.gov.tr/lisans.php?y=100710745"
"AMASYA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","61","% 48,8","https://yokatlas.yok.gov.tr/lisans.php?y=100910267"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","35","% 42,2","https://yokatlas.yok.gov.tr/lisans.php?y=111790402"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (Burslu) (4 Yıllık)
(ASBÜ-Kuzey Kıbrıs Yerleşkesi (KKTC-Lefkoşa))","İLAHİYAT","13","% 44,8","https://yokatlas.yok.gov.tr/lisans.php?y=110910259"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","22","% 37,9","https://yokatlas.yok.gov.tr/lisans.php?y=110910322"
"ANKARA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","67","% 44,1","https://yokatlas.yok.gov.tr/lisans.php?y=101110536"
"ANKARA ÜNİVERSİTESİ (İngilizce) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","17","% 60,7","https://yokatlas.yok.gov.tr/lisans.php?y=101111049"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","54","% 51,4","https://yokatlas.yok.gov.tr/lisans.php?y=110090200"
"ARDAHAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","33","% 37,9","https://yokatlas.yok.gov.tr/lisans.php?y=101210208"
"ARTVİN ÇORUH ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi (Hopa))","İLAHİYAT","43","% 44,8","https://yokatlas.yok.gov.tr/lisans.php?y=101310234"
"ATATÜRK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","65","% 45,5","https://yokatlas.yok.gov.tr/lisans.php?y=101410242"
"ATATÜRK ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","23","% 57,5","https://yokatlas.yok.gov.tr/lisans.php?y=101490295"
