Üniversite Adı,Üniversite Türü,Bölüm,İH 2023 Sayı,İH 2023 Oran,İH 2024 Sayı,İH 2024 Oran,İH 2025 Sayı,İH 2025 Oran,URL
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","ABAZA DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103390230"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%6,3","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=100890057"
"ARDAHAN ÜNİVERSİTESİ (ARDAHAN)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","1","% 3,1","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=101290082"
"ARTVİN ÇORUH ÜNİVERSİTESİ (ARTVİN)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","1","%2,4","1","% 3,1","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=101370270"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","11","%20,4","3","% 9,7","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=101490475"
"BAYBURT ÜNİVERSİTESİ (BAYBURT)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","7","%17,1","4","% 12,9","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=101890037"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","6","%7,2","3","% 9,4","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=107310446"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%6,3","1","% 3,1","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=102710387"
"ERZURUM TEKNİK ÜNİVERSİTESİ (ERZURUM)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","2","%4,8","5","% 15,6","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=103730146"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","3","% 9,4","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=104790017"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","3","% 9,7","1","% 3,2","https://yokatlas.yok.gov.tr/lisans.php?y=104710336"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ (HATAY)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","4","%10,0","3","% 7,5","4","% 11,4","https://yokatlas.yok.gov.tr/lisans.php?y=107710442"
"MALATYA TURGUT ÖZAL ÜNİVERSİTESİ (MALATYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","1","%2,5","3","% 7,5","2","% 5,7","https://yokatlas.yok.gov.tr/lisans.php?y=111570357"
"MUNZUR ÜNİVERSİTESİ (TUNCELİ)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%9,3","2","% 6,5","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=109590048"
"SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (İSTANBUL)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%11,9","1","% 3,1","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=111091394"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","5","%8,1","2","% 6,3","2","% 6,3","https://yokatlas.yok.gov.tr/lisans.php?y=108990307"
"TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ (TEKİRDAĞ)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=107990171"
"TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ (TOKAT)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ","6","%14,3","2","% 6,3","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=104390077"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","2","% 40,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300211622"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ACİL YARDIM VE AFET YÖNETİMİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300290443"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","1","%2,4","3","% 9,7","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=107310473"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","7","%13,2","5","% 15,6","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=108911647"
"TRABZON ÜNİVERSİTESİ (TRABZON)","Devlet","ACİL YARDIM VE AFET YÖNETİMİ (YÜKSEKOKUL)","4","%12,5","2","% 6,3","5","% 15,6","https://yokatlas.yok.gov.tr/lisans.php?y=112190221"
"KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (KÜTAHYA)","Devlet","ADLİ BİLİMLER","4","%9,8","9","% 21,4","2","% 4,8","https://yokatlas.yok.gov.tr/lisans.php?y=111490229"
"KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ (KÜTAHYA)","Devlet","ADLİ BİLİMLER","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=111490230"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","3","%23,1","3","% 27,3","1","% 7,7","https://yokatlas.yok.gov.tr/lisans.php?y=206511444"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","5","%7,4","3","% 4,8","5","% 7,8","https://yokatlas.yok.gov.tr/lisans.php?y=206511462"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ADLİ BİLİMLER","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=206511471"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ","9","%14,5","7","% 10,3","5","% 8,3","https://yokatlas.yok.gov.tr/lisans.php?y=103910743"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103990111"
"FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Devlet","ADLİ BİLİŞİM MÜHENDİSLİĞİ (M.T.O.K)","3","%18,8","2","% 9,1","1","% 5,0","https://yokatlas.yok.gov.tr/lisans.php?y=103910752"
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","1","%4,6","1","% 3,7","2","% 7,4","https://yokatlas.yok.gov.tr/lisans.php?y=103390168"
"GAZİ ÜNİVERSİTESİ (ANKARA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","2","%6,3","4","% 11,1","3","% 8,3","https://yokatlas.yok.gov.tr/lisans.php?y=104111719"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","1","%4,6","Bulunamadı","Bulunamadı","2","% 7,4","https://yokatlas.yok.gov.tr/lisans.php?y=107610391"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=107690389"
